Date,Susceptible,Asymptomatic,Infected,Recovered,Deceased,Cumulative Infections
2020-7-31,5330820,3163.78,19475.4,32867.2,362.392,52720.6
2020-8-1,5328990,3208.94,19761.1,34148.4,372.58,54298
2020-8-2,5327140,3254.71,20050.4,35448.4,382.917,55897.8
2020-8-3,5325250,3301.07,20343.3,36767.4,393.406,57520.5
2020-8-4,5323340,3348,20639.9,38105.6,404.04699999999997,59166.2
2020-8-5,5321410,3395.49,20940.3,39463.4,414.844,60835.3
2020-8-6,5319440,3443.55,21244.4,40840.9,425.79699999999997,62528.1
2020-8-7,5317450,3492.17,21552.2,42238.3,436.91,64244.7
2020-8-8,5315430,3541.35,21863.9,43656,448.18300000000005,65985.6
2020-8-9,5313380,3591.11,22179.4,45094.2,459.619,67751
2020-8-10,5311310,3641.43,22498.8,46553.1,471.22,69541.2
2020-8-11,5309200,3692.33,22822.1,48033,482.98800000000006,71356.4
2020-8-12,5307070,3743.8,23149.4,49534.1,494.925,73196.9
2020-8-13,5304900,3795.85,23480.5,51056.8,507.033,75063.1
2020-8-14,5302710,3848.47,23815.7,52601.2,519.314,76955.2
2020-8-15,5300490,3901.68,24154.8,54167.6,531.769,78873.4
2020-8-16,5298230,3955.46,24498,55756.3,544.4019999999999,80818.2
2020-8-17,5295950,4009.84,24845.2,57367.5,557.215,82789.7
2020-8-18,5293630,4064.79,25196.4,59001.5,570.2080000000001,84788.3
2020-8-19,5291280,4120.34,25551.8,60658.6,583.386,86814.2
2020-8-20,5288900,4176.47,25911.3,62339.1,596.748,88867.8
2020-8-21,5286490,4233.19,26274.9,64043.2,610.299,90949.3
2020-8-22,5284040,4290.5,26642.6,65771.1,624.039,93059
2020-8-23,5281560,4348.4,27014.6,67523.2,637.972,95197.3
2020-8-24,5279050,4406.9,27390.7,69299.8,652.099,97364.3
2020-8-25,5276510,4465.98,27771,71101,666.422,99560.5
2020-8-26,5273930,4525.66,28155.5,72927.2,680.944,101786
2020-8-27,5271320,4585.93,28544.3,74778.7,695.666,104041
2020-8-28,5268670,4646.79,28937.3,76655.7,710.592,106327
2020-8-29,5265990,4708.24,29334.5,78558.5,725.722,108642
2020-8-30,5263270,4770.28,29736.1,80487.3,741.061,110988
2020-9-1,5260520,4832.91,30141.9,82442.6,756.6080000000001,113365
2020-9-2,5257730,4896.13,30552,84424.5,772.368,115773
2020-9-3,5254900,4959.94,30966.4,86433.3,788.342,118213
2020-9-4,5252040,5024.33,31385.1,88469.3,804.5319999999999,120684
2020-9-5,5249140,5089.31,31808.2,90532.8,820.941,123187
2020-9-6,5246210,5154.87,32235.5,92624.1,837.57,125723
2020-9-7,5243240,5221,32667.2,94743.4,854.423,128291
2020-9-8,5240230,5287.72,33103.2,96891.1,871.5010000000001,130892
2020-9-9,5237180,5355,33543.5,99067.3,888.806,133526
2020-9-10,5234090,5422.86,33988.1,101273,906.341,136194
2020-9-11,5230960,5491.28,34437,103507,924.1080000000001,138895
2020-9-12,5227800,5560.26,34890.3,105771,942.11,141631
2020-9-13,5224590,5629.81,35347.8,108064,960.3480000000001,144400
2020-9-14,5221350,5699.91,35809.7,110388,978.825,147205
2020-9-15,5218070,5770.55,36275.8,112742,997.5419999999999,150044
2020-9-16,5214740,5841.74,36746.3,115126,1016.5,152918
2020-9-17,5211380,5913.47,37220.9,117541,1035.71,155827
2020-9-18,5207970,5985.74,37699.9,119988,1055.16,158773
2020-9-19,5204530,6058.53,38183,122466,1074.87,161754
2020-9-20,5201040,6131.84,38670.4,124975,1094.82,164771
2020-9-21,5197510,6205.66,39162,127517,1115.03,167825
2020-9-22,5193930,6279.99,39657.7,130091,1135.5,170915
2020-9-23,5190320,6354.82,40157.6,132697,1156.22,174042
2020-9-24,5186660,6430.14,40661.6,135336,1177.21,177207
2020-9-25,5182960,6505.95,41169.7,138008,1198.46,180409
2020-9-26,5179220,6582.23,41681.9,140714,1219.97,183648
2020-9-27,5175440,6658.97,42198.1,143453,1241.75,186925
2020-9-28,5171610,6736.18,42718.2,146226,1263.8,190241
2020-9-29,5167730,6813.83,43242.3,149033,1286.12,193595
2020-9-30,5163810,6891.91,43770.4,151874,1308.72,196987
