Date,Recovered,Deceased,Infected,Cumulative Infections
2020-6-13,847,12,1622,2955
2020-6-14,928,17,1730.4285714285709,3115
2020-6-15,952,21,1858.7142857142856,3362
2020-6-16,1082,29,2050.8571428571427,3862
2020-6-17,1132,34,2309.428571428572,4505
2020-6-18,1251,46,2679.428571428572,5499
2020-6-19,1271,56,3109.4285714285716,6146
2020-6-20,1279,65,3651.142857142857,7232
2020-6-21,1301,75,4252.571428571428,7756
2020-6-22,2797,82,4735.285714285715,8647
2020-6-23,3156,96,5311.714285714285,10038
2020-6-24,3383,107,5917.142857142857,11067
2020-6-25,3683,113,6544.7142857142835,12391
2020-6-26,4323,122,7147.857142857143,13486
2020-6-27,4859,129,7693.571428571428,14696
2020-6-28,5448,134,8279.42857142857,16063
2020-6-29,5695,148,9154.857142857143,17739
2020-6-30,6104,157,10031,19180
2020-6-31,6569,164,10900.285714285714,20395
2020-7-1,13317,172,10784.142857142857,21271
2020-7-2,13526,179,10706.285714285714,22201
2020-7-3,13727,181,10663.142857142857,23314
2020-7-4,13939,188,10674.142857142857,24685
2020-7-5,14424,195,10633.285714285714,26229
2020-7-6,14792,205,10585.285714285714,27580
2020-7-7,15698,212,10482.142857142857,28850
2020-7-8,16148,218,11341,30160
2020-7-9,17447,224,12131.857142857143,31703
2020-7-10,18471,228,12822.285714285714,32938
2020-7-11,19825,233,13350,34310
2020-7-12,20120,238,13874.857142857143,35642
2020-7-13,21026,248,14344.714285714286,37146
2020-7-14,22260,258,14749.571428571433,38292
2020-7-15,23753,266,14978.857142857143,39418
2020-7-16,25122,276,15102.142857142857,40293
2020-7-17,26049,286,15192.142857142857,41204
2020-7-18,27056,290,15335.285714285714,42600
2020-7-19,27937,295,15404.285714285714,43999
2020-7-20,28988,303,15431.857142857143,45356
2020-7-21,29988,314,15516.428571428567,46668
2020-7-22,30960,322,15703.285714285714,47989
2020-7-23,31691,326,16036.571428571433,49245
2020-7-24,32811,335,16418.14285714286,50686
2020-7-25,33946,343,16774.714285714286,52039
2020-7-26,35564,354,17043.571428571428,53567
2020-7-27,36476,364,17293.714285714286,54656
2020-7-28,37146,370,17572.571428571428,55834
2020-7-29,38425,378,17775.428571428572,56930
2020-7-30,39193,384,17949,58020
2020-7-31,40243,391,18124.571428571428,59403
